Unnamed: 0,Date,Time,Elat,Elon,Dep,Tag,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,y,prediction
3699,2019-12-17,07:13:46.30,39.413,-110.306,-1.8,mis,-0.23,0.04,0.05,-77.4,-112.7,13.31,12.86,-0.15,-0.17,-0.3,-0.2,,0.35,2,0
1889,2016-05-05,22:23:14.54,40.623,-109.507,-2.0,ex,-0.12,-0.37,-0.47,-96.5,-109.4,15.24,14.64,0.13,0.14,0.14,0.1,0.14,0.16,0,1
7470,2021-09-02,05:43:22.92,39.43,-110.3,-2.0,mis,-0.21,0.19,0.17,-100.8,-111.0,15.31,12.64,0.0,0.31,0.21,-0.01,0.55,0.65,2,0
2738,2018-01-18,17:12:25.43,40.614,-109.514,-2.0,ex,-0.31,-0.22,-0.38,-108.1,-120.6,14.93,14.15,0.08,0.08,0.17,0.1,0.16,0.07,0,1
1359,2015-03-23,18:07:34.04,40.521,-112.154,-2.0,ex,-0.26,0.41,0.12,-83.7,-136.6,12.89,12.64,0.1,0.04,0.17,0.34,0.41,0.53,0,2
6717,2020-11-20,02:51:36.47,39.72,-110.733,-2.2,mis,-0.42,-0.19,-0.24,-92.4,-106.5,13.46,13.53,0.01,-0.01,0.07,-0.03,0.79,0.78,2,0
3082,2019-01-04,12:23:36.52,39.714,-110.752,-3.3,mis,-0.45,0.11,-0.01,-94.5,-125.3,13.59,12.76,0.27,0.4,0.38,0.49,0.34,0.48,2,0
2959,2018-08-18,18:18:26.54,38.982,-111.365,-1.9,mis,-0.54,0.2,-0.06,-77.7,-135.6,12.66,12.7,0.07,0.07,0.01,-0.17,0.25,0.06,2,0
1651,2015-10-13,01:02:14.31,40.607,-109.531,-2.0,ex,-0.4,-0.35,-0.52,-107.0,-103.0,14.17,14.53,0.02,-0.01,-0.04,0.04,0.16,0.23,0,1
