Unnamed: 0,Date,Time,Elat,Elon,Dep,Tag,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,y,predicted
8396,2022-03-11,12:56:17.67,39.421,-110.306,-2.2,mis,-0.45,0.04,-0.06,-95.9,-135.9,12.72,12.38,-0.02,0.01,0.03,-0.03,0.09,0.21,2,0
3699,2019-12-17,07:13:46.30,39.413,-110.306,-1.8,mis,-0.23,0.04,0.05,-77.4,-112.7,13.31,12.86,-0.15,-0.17,-0.3,-0.2,,0.35,2,0
836,2014-03-23,06:03:51.77,40.562,-111.263,13.3,eq,-0.17,0.89,0.57,-128.1,-107.4,13.82,13.75,,0.08,0.08,0.09,,0.07,1,0
1280,2015-01-24,15:06:24.93,40.83,-111.384,12.9,eq,-0.13,0.82,0.46,-100.8,-122.1,15.68,14.3,,0.4,0.29,0.41,,-0.12,1,0
2062,2016-09-11,20:52:48.00,40.509,-112.169,-2.0,ex,-0.23,0.15,0.02,-100.0,-127.0,13.67,12.74,0.15,0.19,0.31,0.24,0.38,0.53,0,2
1359,2015-03-23,18:07:34.04,40.521,-112.154,-2.0,ex,-0.26,0.41,0.12,-83.7,-136.6,12.89,12.64,0.1,0.04,0.17,0.34,0.41,0.53,0,2
1880,2016-04-24,23:12:09.72,40.696,-111.48,10.7,eq,0.29,0.86,0.87,-93.3,-107.7,14.91,13.98,,0.21,0.16,0.25,,0.1,1,0
1651,2015-10-13,01:02:14.31,40.607,-109.531,-2.0,ex,-0.4,-0.35,-0.52,-107.0,-103.0,14.17,14.53,0.02,-0.01,-0.04,0.04,0.16,0.23,0,1
