      1        2         3       4       5     6     7    8    9    10    11   12  13   14    15    16    17   18    19    20
    Date      Time      Lat     Lon     Dep    ML    MC   N   Dmin  ehz   ehr  tag NSg  MwSg  fcSg  aicS  NPg  MwPg  fcPg  aicP
2012-10-12 20:14:17.87 40.499 -112.176 -2.00  1.77  1.64  15   7.0  0.00  0.00  ex   7  2.46  0.51 -108.4   7  1.99  3.23  -88.8
2012-10-12 20:37:01.23 38.483 -113.064 -2.00 -9.99  1.58   7  19.0  0.00  0.00  ex   3  1.74  2.45  -72.3   0  0.00  0.00    0.0
2012-10-13 00:19:31.58 40.508 -112.167 -2.00  1.62  1.73  17   8.0  0.00  0.00  ex  11  1.81  3.75  -99.3   9  1.88  9.76  -74.1
2012-10-13 13:35:05.82 40.727 -111.779 -2.00 -9.99  1.18   7   5.0  0.00  0.00  ex   0  0.00  0.00    0.0   1  3.14  0.20  -91.0
2012-10-13 18:06:22.97 40.529 -112.170 -2.00  1.63  1.63  14   7.0  0.00  0.00  ex   9  1.63  3.72 -102.3   8  1.83  7.65  -79.8
2012-10-13 22:05:03.40 40.534 -112.161 -2.00  1.57  1.45   8   8.0  0.00  0.00  ex   7  2.11  1.07  -95.6   4  1.91 16.68  -80.2
2012-10-14 19:14:36.88 40.521 -112.168 -2.00  1.54  1.56  13   7.0  0.00  0.00  ex  10  1.69  4.65  -77.9   9  1.77  9.31  -83.3
2012-10-14 22:45:38.38 40.504 -112.170 -2.00  1.72  1.77  18   7.0  0.00  0.00  ex   7  2.01  2.23 -119.0   5  2.34  1.14  -72.2
2012-10-15 11:38:55.00 39.488 -111.735  8.74 -9.99  0.87   8   7.0  0.60  0.40  eq   6  1.86  6.45 -115.1   1  2.81  5.37  -41.5
2012-10-15 18:33:22.86 40.523 -112.156 -2.00  1.40  1.43  10   8.0  0.00  0.00  ex   6  1.83  1.90 -101.1   4  1.88  3.24  -89.9
2012-10-15 20:37:47.86 41.136 -112.920 -1.50  1.13  1.36   8  26.0  0.00  0.00  ex   3  1.77  6.73  -76.3   2  1.81  5.57 -107.4
2012-10-15 22:17:31.76 38.957 -112.920 -2.00  1.93  1.67   9  42.0  0.00  0.00  ex   7  2.04  1.53  -91.9   7  2.48  1.03  -74.8
2012-10-15 22:24:33.58 41.132 -112.903 -1.50 -9.99  1.36   8  26.0  0.00  0.00  ex   3  1.67  6.13 -108.1   1  2.14  3.67  -94.5
2012-10-15 22:26:12.41 40.521 -112.150 -2.00  1.66  1.65  10   9.0  0.00  0.00  ex   8  2.28  0.68 -114.8   4  2.25  1.33  -75.0
2012-10-15 23:45:55.09 40.472 -111.955 -2.00 -9.99  1.81   8   2.0  0.00  0.00  ex   0  0.00  0.00    0.0   1  1.33 15.81  -15.2
2012-10-16 09:44:17.38 39.313 -112.114 11.52 -9.99  1.06  10   9.0  0.60  0.50  eq   5  1.88  3.25 -110.6   1  2.18  5.41 -119.5
2012-10-16 11:54:52.38 37.074 -112.924 22.43  2.01  1.57  15  11.0  0.80  0.50  eq  11  2.30 11.80 -138.8   7  2.27 18.40 -115.9
2012-10-16 11:55:12.68 37.098 -112.928 18.27  2.19  1.78   8  13.0  1.20  0.50  eq   0  0.00  0.00    0.0   0  0.00  0.00    0.0
2012-10-16 16:05:29.05 41.136 -112.915 -1.50  1.15  1.34   7  26.0  0.00  0.00  ex   2  1.79  5.32  -86.2   2  1.81  9.84  -84.1
2012-10-16 17:15:57.87 41.142 -112.893 -1.50 -9.99  1.19   8  27.0  0.00  0.00  ex   2  1.54  4.96  -98.4   0  0.00  0.00    0.0
2012-10-16 20:02:27.93 38.217 -109.220 -2.00 -9.99  1.77   4   9.0  0.00  0.00  ex   2  1.89  1.46  -88.2   1  1.86  7.73  -44.2
2012-10-16 22:16:05.66 40.487 -112.174 -2.00  1.76  1.91   9   8.0  0.00  0.00  ex   6  2.10  1.08 -114.0   7  1.90  8.60  -57.6
2012-10-17 18:47:38.36 40.516 -112.163 -2.00  1.70  1.61  15   8.0  0.00  0.00  ex   7  1.88  2.02 -122.9   9  2.06  3.56  -88.4
2012-10-17 19:14:37.85 41.154 -112.934 -2.00 -9.99  1.10   6  27.0  0.00  0.00  ex   1  1.67  2.16 -123.9   0  0.00  0.00    0.0
