,Date,Time,Elat,Elon,Dep,Tag,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,y
3309,2019-03-02,07:47:15.88,37.508,-113.85,8.1,eq,,0.56,0.38,-98.2,-130.6,15.38,14.51,,0.02,0.1,-0.06,,-0.33,1
828,2014-03-20,17:33:28.54,38.286,-108.582,-2.0,ex,,,,,,,,,,,,,,0
1937,2016-06-13,18:18:02.59,41.135,-112.904,-1.5,ex,-0.05,0.4,0.19,-83.4,-90.5,14.78,14.56,-0.04,0.02,0.12,,,0.69,0
2868,2018-05-21,17:52:01.84,37.108,-112.552,21.7,eq,-0.41,,-0.04,,-103.3,,14.52,,,,,,,1
350,2013-05-04,08:13:39.49,38.787,-111.54,16.3,eq,0.21,1.0,1.0,-128.3,-140.9,16.34,14.63,,,,,,-0.2,1
6871,2021-02-11,04:40:49.81,39.426,-110.308,-2.0,mis,,,,,,,,,,,,,,2
5321,2020-04-01,09:25:34.91,40.763,-112.055,7.7,eq,0.14,0.64,0.61,-96.3,-124.4,16.14,15.1,,-0.07,0.03,-0.1,,-0.01,1
72,2012-10-23,16:59:44.34,40.527,-112.159,-2.0,ex,-0.07,0.28,,-90.2,,13.32,,,,,,,,0
1011,2014-07-01,17:06:53.98,38.136,-109.111,-2.0,ex,-0.39,,,,,,,,,,,,,0
3344,2019-03-14,13:44:51.49,37.508,-113.841,7.0,eq,-0.24,0.19,0.0,-143.1,-149.5,16.53,15.96,-0.03,-0.03,-0.03,-0.08,-0.21,-0.24,1
6194,2020-06-10,01:50:15.46,40.774,-112.091,9.4,eq,-0.06,,,,,,,,,,,,,1
3563,2019-07-15,22:43:57.50,41.585,-111.74,8.0,eq,0.01,0.53,0.79,-118.3,-120.9,15.47,13.59,,-0.17,-0.07,0.02,,-0.04,1
3718,2020-01-04,08:29:53.86,38.883,-111.556,21.2,eq,-0.05,0.58,0.3,-126.8,-116.2,16.1,15.02,0.15,0.09,0.07,0.08,-0.23,-0.29,1
7217,2021-07-24,09:46:20.61,39.23,-110.458,12.7,eq,-0.62,0.35,0.38,-124.5,-151.8,16.44,14.95,,-0.19,-0.13,-0.2,,-0.33,1
4496,2020-03-19,09:56:44.67,40.729,-112.086,10.3,eq,0.16,,,,,,,,,,,,,1
377,2013-05-21,19:26:06.75,41.132,-112.91,-1.5,ex,0.06,0.54,0.32,-74.6,-96.8,15.03,14.04,,,,,,,0
810,2014-03-14,16:03:51.17,40.561,-111.269,14.0,eq,-0.13,0.08,0.04,-161.6,-180.0,16.44,15.78,-0.03,-0.02,0.03,0.0,0.04,0.08,1
8086,2022-01-06,19:52:42.96,39.425,-110.316,-1.4,mis,,0.24,0.23,-101.7,-102.6,12.72,12.55,,,,,,,2
4100,2020-03-18,19:15:39.09,40.751,-112.057,8.9,eq,-0.6,-0.3,-0.42,-73.4,-73.9,16.52,16.11,,,,,,,1
6065,2020-05-21,17:17:25.24,40.738,-112.068,8.1,eq,,,,,,,,,,,,,,1
3046,2018-11-30,17:41:34.15,36.917,-112.348,22.6,eq,,,0.45,,-81.8,,13.75,,,,,,,1
7422,2021-08-27,15:36:10.73,38.515,-112.5,8.5,eq,0.33,,0.88,,-158.8,,15.98,,,,,,-0.35,1
206,2013-01-25,13:57:59.38,37.469,-112.276,15.9,eq,,0.48,0.62,-72.9,-110.5,16.07,14.71,0.13,,,-0.09,,-0.15,1
4625,2020-03-19,21:28:40.25,40.751,-112.056,6.7,eq,,,,,,,,,,,,,,1
1548,2015-08-09,13:10:46.81,38.739,-111.43,10.7,eq,,,0.8,,-141.7,,14.4,,,,,,,1
8615,2022-06-27,16:28:02.68,39.431,-110.314,-1.1,mis,-0.44,0.18,0.21,-92.2,-134.8,13.77,13.4,0.05,,,,,,2
6435,2020-07-23,18:02:18.90,39.413,-110.313,-1.1,mis,,,,,,,,,,,,,,2
3271,2019-02-23,09:54:43.55,40.472,-111.937,8.4,eq,,,,,,,,,,,,,,1
8095,2022-01-10,17:53:04.15,39.426,-110.325,-1.2,mis,,,0.25,,-136.3,,12.72,,,,,,,2
2270,2017-03-07,00:04:52.45,41.356,-112.001,-2.0,ex,,,0.14,,-107.8,,12.49,,,,,,,0
2990,2018-09-22,19:53:58.40,41.618,-111.685,10.2,eq,,,,,,,,,,,,,,1
845,2014-03-28,20:19:42.19,38.952,-112.933,-2.0,ex,,0.78,0.43,-68.3,-47.8,13.22,12.52,,,,,,,0
6562,2020-09-02,13:39:04.72,41.475,-111.736,9.4,eq,-0.14,,1.3,,-101.1,,15.07,,,,,,,1
3215,2019-02-17,10:40:23.56,40.47,-111.927,6.5,eq,,,,,,,,,,,,,,1
3609,2019-09-16,06:30:07.62,39.407,-110.306,-1.6,mis,-0.16,0.03,0.18,-90.6,-123.1,14.04,13.17,0.22,0.17,,,0.56,,2
6737,2020-11-24,08:42:13.38,41.014,-111.591,10.6,eq,0.18,0.64,0.54,-116.6,-108.8,15.5,15.01,-0.04,-0.04,-0.07,-0.12,-0.16,-0.14,1
6732,2020-11-22,10:51:35.51,40.731,-112.064,10.2,eq,0.14,0.72,0.7,-96.5,-115.1,15.04,14.18,,-0.07,-0.07,0.05,,0.13,1
1258,2015-01-03,18:02:51.59,39.385,-111.903,14.0,eq,0.11,0.36,0.32,-107.0,-125.5,15.93,15.28,-0.2,-0.14,-0.07,-0.1,-0.24,-0.12,1
5862,2020-04-27,08:30:37.32,40.708,-112.069,6.5,eq,-0.12,,0.67,,-88.2,,13.85,,,,,,,1
2842,2018-05-01,20:46:11.07,37.01,-113.544,-2.0,ex,-0.52,,-0.11,,-110.1,,12.29,,,,,,0.19,0
2010,2016-08-10,01:38:24.85,41.739,-111.587,12.4,eq,,,,,,,,,,,,,,1
4636,2020-03-19,22:40:18.64,40.752,-112.037,6.9,eq,0.0,,,,,,,,,,,,,1
7000,2021-04-08,15:30:34.25,38.685,-112.084,11.8,eq,-0.19,0.43,0.4,-120.1,-92.8,14.72,14.31,,-0.04,-0.03,0.01,,-0.24,1
7540,2021-09-14,22:21:57.30,39.429,-110.305,-1.7,mis,,,0.04,,-134.5,,12.3,,,,,,0.27,2
5284,2020-03-30,21:05:30.34,40.734,-112.046,9.9,eq,,,,,,,,,,,,,,1
5714,2020-04-17,23:32:10.95,38.473,-112.8,7.0,eq,0.06,0.59,0.44,-134.8,-149.5,16.81,14.98,-0.0,-0.01,-0.08,-0.1,0.12,0.06,1
3806,2020-03-18,13:40:18.43,40.765,-112.062,6.2,eq,,,0.71,,-71.6,,15.79,,,,,,,1
1683,2015-11-04,18:55:32.59,36.838,-112.857,18.1,eq,,,0.8,,-96.8,,15.2,,,,,,,1
1475,2015-06-24,16:44:34.87,41.209,-112.898,-2.0,ex,,,,,,,,,,,,,,0
8102,2022-01-11,15:35:19.52,39.422,-110.308,-1.8,mis,,,0.18,,-116.9,,12.18,,,,,,,2
8579,2022-06-10,01:40:37.99,40.718,-112.071,9.0,eq,0.08,,,,,,,,,,,,,1
6817,2021-01-14,23:31:24.81,40.729,-112.056,8.5,eq,-0.03,0.52,0.42,-106.3,-134.8,15.46,15.0,0.21,0.13,0.08,0.13,-0.07,0.08,1
5303,2020-03-31,11:13:44.00,38.744,-111.327,9.9,eq,-0.48,0.37,0.26,-112.5,-114.8,15.93,14.8,,-0.05,-0.19,-0.12,,-0.2,1
3596,2019-09-01,13:53:29.42,38.567,-112.195,7.2,eq,0.02,0.53,0.33,-133.3,-156.6,16.09,15.26,-0.0,-0.02,-0.02,-0.04,-0.12,-0.12,1
7815,2021-10-21,19:10:31.45,39.429,-110.304,-1.9,mis,-0.42,-0.04,-0.23,-78.8,-107.1,12.76,12.98,0.06,0.09,0.08,0.2,,0.45,2
4115,2020-03-18,19:26:56.62,40.757,-112.053,8.6,eq,,,,,,,,,,,,,,1
454,2013-07-16,16:34:15.55,38.155,-109.103,-2.0,ex,-0.45,,,,,,,,,,,,,0
9366,2023-02-07,13:56:48.16,40.872,-111.564,12.8,eq,,,0.79,,-78.4,,13.51,,,,,,,1
4826,2020-03-21,03:13:56.96,40.77,-112.08,10.6,eq,,,,,,,,,,,,,,1
6200,2020-06-11,03:49:28.09,39.411,-110.31,-1.3,mis,,,,,,,,,,,,,,2
9607,2023-08-06,22:10:08.17,38.425,-112.845,5.5,eq,,,,,,,,,,,,,,1
6703,2020-11-15,15:14:00.35,38.419,-112.845,5.2,eq,,0.71,0.54,-77.4,-106.8,16.17,15.37,,-0.1,-0.19,-0.26,,-0.33,1
3117,2019-01-19,12:02:41.52,37.491,-113.827,3.8,eq,,,,,,,,,,,,,,1
