,Date,Time,Elat,Elon,Dep,Tag,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,y
5789,2020-04-21,01:26:21.92,40.748,-111.969,6.3,eq,,,,,,,,,,,,,,1
9139,2022-09-10,01:50:17.85,39.426,-110.301,-1.9,mis,,,-0.04,,-141.5,,12.17,,,,,,0.25,2
8625,2022-06-28,06:00:23.98,39.43,-110.301,-1.7,mis,-0.34,,0.32,,-145.1,,12.54,,,,,,,2
6106,2020-05-28,08:24:24.05,38.758,-111.494,6.4,eq,-0.37,,0.34,,-100.8,,14.15,,,,,,0.05,1
978,2014-06-17,16:43:49.18,39.542,-111.718,12.2,eq,,,0.96,,-96.6,,15.23,,,,,,,1
1020,2014-07-07,19:48:42.33,41.162,-112.936,-1.5,ex,-0.07,0.25,0.05,-92.8,-118.4,16.07,14.29,-0.16,-0.01,,,,,0
8792,2022-07-21,19:25:44.10,39.431,-110.311,-1.0,mis,-0.41,0.26,0.32,-117.7,-126.4,13.3,12.61,,,,,,,2
7575,2021-09-21,21:19:25.09,39.425,-110.306,-1.4,mis,,,,,,,,,,,,,,2
8250,2022-02-10,23:36:07.04,38.351,-113.113,9.9,eq,0.31,0.65,0.44,-103.1,-139.1,14.92,14.87,,-0.06,-0.03,-0.02,,-0.22,1
5107,2020-03-24,14:13:09.02,40.77,-112.074,9.4,eq,,,,,,,,,,,,,,1
310,2013-04-04,01:47:47.58,40.928,-111.257,12.5,eq,0.04,,1.0,,-119.1,,14.12,,,,,,0.04,1
5931,2020-05-05,13:29:08.57,40.74,-112.078,8.7,eq,0.01,0.7,0.57,-104.1,-128.1,15.6,15.18,0.06,0.04,-0.04,-0.1,-0.11,-0.18,1
1488,2015-07-03,17:49:41.48,41.059,-111.677,-2.0,ex,,,,,,,,,,,,,,0
1969,2016-07-18,16:39:10.09,41.893,-112.281,5.3,eq,,,,,,,,,,,,,,1
603,2013-10-18,21:03:17.04,40.521,-112.168,-2.0,ex,-0.14,-0.04,0.25,-84.4,-157.0,13.54,12.5,0.08,0.14,0.12,-0.05,0.19,0.09,0
9412,2023-03-31,18:58:10.45,41.78,-111.618,11.8,eq,-0.32,,0.37,,-102.9,,14.38,,-0.22,-0.17,-0.12,,-0.01,1
6569,2020-09-04,00:37:11.44,37.482,-113.769,7.4,eq,,,0.51,,-111.8,,14.34,,,,,,,1
8058,2021-12-27,21:21:05.23,39.426,-110.313,-1.4,mis,,,,,,,,,,,,,,2
6665,2020-10-25,13:43:45.67,40.474,-111.948,6.1,eq,,,,,,,,,,,,,,1
8643,2022-06-30,00:18:36.51,39.429,-110.302,-1.6,mis,-0.33,,0.13,,-154.8,,12.7,,,,,,,2
1582,2015-08-25,22:00:05.69,41.138,-112.916,-1.5,ex,0.13,0.4,0.33,-95.0,-98.9,14.8,14.54,-0.09,0.01,0.18,,,0.64,0
1107,2014-08-29,00:19:27.48,36.882,-113.051,23.9,eq,0.18,,0.84,,-113.7,,14.8,,,,,,,1
8294,2022-02-17,05:45:01.18,39.419,-110.306,-2.2,mis,,,,,,,,,,,,,,2
5293,2020-03-31,07:51:32.07,38.743,-111.319,8.7,eq,,,0.47,,-119.9,,14.1,,,,,,-0.07,1
9049,2022-08-29,15:24:37.84,39.427,-110.299,-1.6,mis,-0.46,-0.03,0.17,-117.3,-129.5,13.54,12.87,-0.11,0.19,0.11,,-0.04,,2
1829,2016-03-24,17:01:34.72,40.406,-111.983,-2.0,ex,,,,,,,,,,,,,,0
5944,2020-05-06,21:23:07.33,39.405,-110.315,-1.2,mis,,,,,,,,,,,,,,2
7979,2021-11-17,00:20:42.65,39.429,-110.32,-1.2,mis,,,0.46,,-142.1,,12.43,,,,,,,2
721,2014-01-04,23:58:25.18,40.504,-112.176,-2.0,ex,-0.31,0.25,-0.08,-97.1,-112.1,13.65,14.34,0.32,0.15,0.26,0.12,0.39,0.17,0
6488,2020-07-29,13:17:02.54,40.739,-112.048,7.2,eq,-0.27,,,,,,,,,,,,,1
5357,2020-04-02,22:40:00.80,40.716,-112.077,10.6,eq,,,,,,,,,,,,,,1
4880,2020-03-21,14:09:07.36,40.714,-112.099,11.7,eq,0.29,,0.86,,-96.1,,14.05,,,,,,0.07,1
356,2013-05-06,10:28:33.80,37.575,-113.287,7.0,eq,-0.23,0.44,0.44,-129.6,-139.0,15.69,15.36,0.01,-0.24,-0.19,-0.31,-0.2,-0.4,1
8816,2022-07-27,21:31:55.96,39.431,-110.317,-1.0,mis,-0.52,,,,,,,,,,,,,2
3661,2019-11-11,00:00:03.35,38.859,-112.025,13.4,eq,,0.53,0.44,-83.0,-117.9,15.0,14.33,,-0.3,-0.15,0.02,-0.15,-0.13,1
8062,2021-12-28,18:57:13.48,39.423,-110.305,-2.1,mis,,-0.08,-0.25,-97.4,-118.1,12.45,12.71,0.04,0.2,0.08,,,,2
490,2013-08-14,01:05:58.57,40.402,-111.956,-2.0,ex,-0.27,,,,,,,,,,,,,0
2665,2017-11-11,14:10:00.50,40.723,-111.795,-2.0,ex,0.17,,,,,,,,,,,,,0
2924,2018-07-09,03:22:06.16,41.469,-111.645,10.2,eq,0.23,,0.9,,-88.9,,14.13,,,,,,,1
7123,2021-06-09,14:34:47.01,40.72,-112.06,10.9,eq,,,,,,,,,,,,,,1
1139,2014-09-17,21:51:42.90,40.512,-112.155,-2.0,ex,0.01,0.19,0.37,-64.8,-114.7,14.67,12.05,,0.0,0.17,0.11,,0.0,0
8516,2022-04-30,11:00:27.74,40.791,-111.962,5.3,eq,-0.17,,,,,,,,,,,,,1
6554,2020-08-30,13:06:14.59,41.084,-111.558,10.3,eq,-0.03,,0.56,,-128.5,,14.64,,,,,,-0.1,1
3395,2019-03-27,03:02:44.15,39.27,-111.935,14.7,eq,,0.67,0.67,-83.8,-116.6,14.49,13.84,,-0.22,-0.09,-0.21,,0.01,1
3986,2020-03-18,16:49:48.28,40.772,-112.057,8.3,eq,,,,,,,,,,,,,,1
3245,2019-02-20,15:33:08.47,40.465,-111.94,9.1,eq,0.04,0.7,0.49,-121.0,-138.4,14.68,14.61,0.08,-0.01,-0.04,0.05,-0.19,-0.05,1
1116,2014-09-05,17:12:30.42,38.143,-109.087,-2.0,ex,,,,,,,,,,,,,,0
6210,2020-06-13,08:28:40.78,40.765,-111.966,6.7,eq,,,,,,,,,,,,,,1
5024,2020-03-23,02:43:20.41,40.789,-112.074,10.4,eq,-0.16,,,,,,,,,,,,,1
5428,2020-04-06,02:46:39.93,40.757,-112.094,7.9,eq,,,,,,,,,,,,,,1
4775,2020-03-20,22:15:26.17,40.744,-112.075,7.3,eq,,,,,,,,,,,,,,1
1167,2014-10-09,18:47:56.53,37.377,-112.456,-2.0,ex,-0.36,,-0.02,,-140.5,,12.32,,,,,,,0
5100,2020-03-24,11:42:09.09,40.779,-112.045,9.1,eq,-0.07,0.18,0.06,-159.1,-163.8,17.18,16.4,-0.02,-0.04,-0.01,0.07,-0.12,-0.06,1
2363,2017-05-15,20:25:44.86,37.583,-112.826,17.2,eq,,,,,,,,,,,,,,1
8669,2022-07-03,08:45:58.36,40.71,-112.07,11.8,eq,-0.01,0.66,0.5,-121.7,-135.4,15.93,14.98,0.05,0.04,-0.01,-0.01,-0.12,-0.11,1
1948,2016-06-26,23:16:21.99,39.81,-111.794,8.5,eq,-0.06,0.68,0.67,-111.2,-96.1,15.52,14.61,,0.13,0.22,0.11,,-0.12,1
5972,2020-05-11,17:02:44.70,39.41,-110.307,-1.5,mis,,,,,,,,,,,,,,2
6133,2020-05-31,00:41:46.86,40.73,-112.043,8.6,eq,,,,,,,,,,,,,,1
4444,2020-03-19,07:13:53.46,40.734,-112.062,9.8,eq,,,,,,,,,,,,,,1
6039,2020-05-19,00:41:21.74,39.41,-110.303,-1.7,mis,,,,,,,,,,,,,,2
2916,2018-06-27,06:51:05.80,41.539,-112.194,7.1,eq,-0.21,0.44,0.46,-108.0,-118.9,15.75,15.0,,-0.02,0.03,0.05,,-0.18,1
8056,2021-12-27,17:22:17.67,39.426,-110.306,-2.2,mis,-0.68,-0.28,-0.42,-117.7,-124.4,12.91,12.91,0.07,0.13,0.13,0.24,0.62,0.78,2
595,2013-10-17,01:07:56.22,40.702,-111.456,10.4,eq,0.03,,0.84,,-82.2,,14.55,,,,,,,1
2207,2016-12-23,22:51:53.61,40.818,-111.897,-2.0,ex,-0.42,,,,,,,,,,,,,0
5612,2020-04-15,05:00:39.47,40.732,-112.069,8.3,eq,,,,,,,,,,,,,,1
5886,2020-04-29,06:32:29.80,40.733,-112.032,9.3,eq,,,,,,,,,,,,,,1
5717,2020-04-17,23:47:53.80,40.724,-112.055,9.3,eq,,,,,,,,,,,,,,1
4767,2020-03-20,19:08:58.03,40.712,-112.069,10.2,eq,,,,,,,,,,,,,,1
9046,2022-08-28,03:48:08.66,39.427,-110.3,-1.7,mis,-0.4,0.06,0.14,-91.5,-104.0,13.74,12.77,,,,,0.07,,2
5537,2020-04-12,11:10:26.21,40.754,-111.99,4.3,eq,,,,,,,,,,,,,,1
5629,2020-04-15,12:10:30.58,40.733,-112.059,8.8,eq,0.05,0.6,0.57,-116.1,-132.0,15.72,15.1,0.12,-0.08,-0.04,0.0,-0.48,-0.12,1
5584,2020-04-15,03:06:51.54,40.735,-112.062,8.0,eq,,,,,,,,,,,,,,1
1811,2016-03-09,04:36:00.76,36.977,-113.009,20.8,eq,-0.05,,0.42,,-149.4,,15.13,,,,,,-0.43,1
8857,2022-08-03,05:14:53.17,39.426,-110.297,-1.8,mis,-0.5,-0.08,0.04,-99.0,-141.3,13.63,12.69,-0.02,0.26,0.1,0.19,0.42,0.71,2
6042,2020-05-19,01:47:33.83,40.846,-111.987,8.2,eq,,,,,,,,,,,,,,1
9035,2022-08-25,22:42:46.64,39.427,-110.303,-1.5,mis,-0.37,0.18,0.22,-117.3,-131.1,13.56,12.83,-0.06,0.24,,,0.21,,2
5723,2020-04-18,00:57:27.63,38.474,-112.817,5.1,eq,,,,,,,,,,,,,,1
3042,2018-11-27,11:42:21.49,40.962,-110.859,15.6,eq,,,0.55,,-92.4,,14.91,,,,,,,1
5696,2020-04-17,08:21:01.18,38.466,-112.801,4.1,eq,,,0.83,,-122.6,,13.91,,,,,,-0.26,1
742,2014-01-29,22:12:02.14,37.157,-112.979,20.0,eq,0.97,,,,,,,,,,,,,1
6697,2020-11-12,18:52:14.98,40.641,-109.337,23.0,eq,,,0.18,,-142.4,,16.01,,,,,,-0.45,1
5261,2020-03-29,19:16:50.30,40.739,-112.071,8.4,eq,,,,,,,,,,,,,,1
4928,2020-03-22,00:38:13.62,40.736,-112.052,5.0,eq,0.02,,0.47,,-149.5,,15.34,,,,,,-0.38,1
3581,2019-08-13,09:53:42.89,40.877,-111.599,11.4,eq,-0.21,,,,,,,,,,,,,1
3978,2020-03-18,16:43:03.46,40.759,-112.051,9.2,eq,-0.25,0.36,0.27,-90.6,-97.5,15.11,15.03,,-0.14,-0.14,-0.09,,-0.03,1
9613,2023-08-14,01:11:30.86,38.406,-112.818,7.4,eq,,,,,,,,,,,,,,1
1236,2014-12-13,02:59:04.91,37.543,-112.303,11.9,eq,,,0.79,,-104.4,,14.33,,,,,,,1
5880,2020-04-29,03:23:45.30,40.727,-112.069,8.8,eq,,,,,,,,,,,,,,1
1497,2015-07-10,18:47:41.80,38.842,-111.409,11.0,eq,,,,,,,,,,,,,,1
7609,2021-09-27,23:24:42.15,39.431,-110.304,-1.7,mis,-0.5,0.17,-0.09,-107.0,-127.3,12.73,12.57,-0.06,0.04,,,0.41,,2
5174,2020-03-26,12:38:06.41,40.749,-112.052,10.0,eq,,,,,,,,,,,,,,1
6755,2020-12-05,22:56:31.19,40.722,-112.061,8.8,eq,,,0.76,,-116.3,,14.5,,,,,,,1
1277,2015-01-20,01:44:09.36,41.668,-112.41,6.9,eq,,,,,,,,,,,,,,1
2046,2016-09-03,02:18:21.75,39.361,-111.913,19.8,eq,,,0.64,,-87.9,,14.25,,,,,,,1
2499,2017-07-20,22:22:55.98,38.442,-113.056,-2.0,ex,-0.17,,-0.24,,-92.7,,12.81,,,,,,,0
2234,2017-01-23,03:07:34.49,41.903,-112.297,4.7,eq,,,,,,,,,,,,,,1
8087,2022-01-06,21:26:29.19,39.425,-110.316,-1.3,mis,,,0.42,,-130.7,,12.26,,,,,,,2
2521,2017-08-07,18:05:28.98,41.141,-112.924,-1.5,ex,-0.03,,0.54,,-65.2,,14.08,,,,,,,0
1113,2014-09-01,10:09:37.18,40.719,-111.43,11.8,eq,0.12,,,,,,,,,,,,,1
8762,2022-07-19,18:16:42.55,39.431,-110.303,-1.6,mis,-0.36,-0.05,0.1,-64.9,-131.0,13.72,12.68,0.03,0.18,0.13,,,,2
565,2013-09-26,18:16:51.37,38.45,-113.071,-2.0,ex,,,0.29,,-114.0,,12.25,,,,,,,0
4395,2020-03-19,05:23:36.36,40.75,-112.038,9.0,eq,,,,,,,,,,,,,,1
2463,2017-07-04,17:51:30.17,40.599,-111.587,10.3,eq,,,,,,,,,,,,,,1
6270,2020-06-24,08:32:38.63,41.815,-111.641,11.1,eq,,,1.52,,-116.6,,13.97,,,,,,-0.11,1
4549,2020-03-19,13:16:42.67,40.746,-112.046,7.9,eq,,,,,,,,,,,,,,1
4146,2020-03-18,20:12:29.69,40.738,-112.037,6.5,eq,,,,,,,,,,,,,,1
897,2014-05-05,15:58:47.13,41.961,-112.292,6.3,eq,,,,,,,,,,,,,,1
4947,2020-03-22,04:57:53.23,40.756,-112.057,8.7,eq,0.11,,,,,,,,,,,,,1
8029,2021-12-16,06:30:52.07,40.715,-112.047,8.5,eq,,,,,,,,,,,,,,1
1911,2016-05-24,22:32:15.60,39.298,-112.129,12.9,eq,0.26,,0.96,,-70.0,,13.7,,,,,,,1
7560,2021-09-17,00:28:52.37,39.426,-110.31,-1.2,mis,-0.57,,,,,,,,,,,,,2
1249,2014-12-23,18:57:04.68,36.948,-112.887,20.2,eq,-0.35,,,,,,,,,,,,,1
6215,2020-06-14,18:30:21.00,40.726,-112.081,8.6,eq,,,,,,,,,,,,,,1
8547,2022-05-26,06:05:41.11,39.43,-110.3,-1.5,mis,-0.27,0.17,,-78.3,,12.69,,,,,,,,2
1891,2016-05-07,20:09:12.91,38.602,-112.213,12.7,eq,,,0.91,,-100.1,,13.48,,,,,,,1
3961,2020-03-18,16:24:58.57,40.749,-112.045,8.6,eq,-0.03,,,,,,,,,,,,,1
3011,2018-10-10,10:05:07.76,39.491,-111.932,12.8,eq,0.22,0.78,0.58,-116.2,-134.5,15.97,14.66,0.17,0.02,0.06,-0.02,-0.14,-0.2,1
7785,2021-10-18,19:56:40.95,39.438,-110.337,-3.4,mis,,,,,,,,,,,,,,2
498,2013-08-17,17:35:50.52,40.534,-112.123,-2.0,ex,-0.74,,0.12,,-128.8,,11.34,,,,,,,0
4445,2020-03-19,07:15:08.85,40.764,-112.023,8.1,eq,,,,,,,,,,,,,,1
5125,2020-03-24,23:10:39.17,40.726,-112.102,11.5,eq,,,,,,,,,,,,,,1
1029,2014-07-10,19:03:58.38,40.633,-111.417,-2.0,ex,,,,,,,,,,,,,,0
8903,2022-08-07,10:55:44.97,40.741,-112.065,9.1,eq,,,,,,,,,,,,,,1
8580,2022-06-10,09:53:01.66,40.732,-112.091,8.6,eq,,,,,,,,,,,,,,1
4167,2020-03-18,20:49:06.71,40.733,-112.095,8.6,eq,,,,,,,,,,,,,,1
2666,2017-11-12,21:56:33.58,40.519,-112.168,-2.0,ex,0.11,0.06,1.33,-54.7,-134.5,13.62,11.27,,,,,,0.2,0
1136,2014-09-17,16:45:20.96,40.825,-111.881,-2.0,ex,-0.77,,,,,,,,,,,,,0
3772,2020-03-14,02:16:23.18,36.993,-113.504,11.1,eq,,,0.35,,-111.8,,14.58,,,,,,,1
4991,2020-03-22,18:24:45.56,40.76,-112.081,10.5,eq,,,2.05,,-92.2,,15.25,,,,,,,1
953,2014-06-04,17:23:50.91,40.459,-111.856,-2.0,ex,-0.52,,,,,,,,,,,,,0
3084,2019-01-04,23:34:17.28,38.544,-112.257,6.3,eq,0.34,,1.24,,-135.1,,14.93,,,,,,-0.23,1
5294,2020-03-31,08:05:07.96,40.737,-112.058,8.8,eq,,,,,,,,,,,,,,1
3670,2019-11-18,15:10:26.05,40.046,-111.745,3.2,eq,-0.09,0.69,0.44,-95.3,-116.0,14.39,14.4,0.15,0.2,0.19,0.11,0.3,0.3,1
2355,2017-05-11,21:02:17.00,40.619,-109.529,-2.0,ex,-0.2,-0.01,-0.28,-65.0,-122.5,13.6,14.31,,0.18,0.07,-0.05,,0.07,0
3348,2019-03-14,22:34:22.36,38.724,-112.49,10.6,eq,,0.83,0.74,-97.0,-95.7,16.08,15.15,,,,,,,1
1981,2016-07-25,09:26:03.96,40.885,-111.609,11.0,eq,-0.36,,0.79,,-62.5,,14.59,,,,,,,1
468,2013-07-30,23:01:25.71,40.499,-112.195,-2.0,ex,-0.25,0.04,-0.01,-84.2,-144.8,13.64,12.6,0.02,-0.01,0.1,0.16,-0.08,0.07,0
6174,2020-06-08,02:35:22.07,39.411,-110.305,-1.6,mis,,,,,,,,,,,,,,2
8795,2022-07-22,04:36:21.01,39.43,-110.311,-1.1,mis,-0.27,0.24,0.35,-90.0,-99.2,13.77,13.05,0.1,0.3,0.12,,0.36,0.68,2
5133,2020-03-25,02:17:44.01,40.749,-111.964,2.0,eq,-0.09,,0.68,,-81.7,,13.73,,,,,,,1
4857,2020-03-21,09:06:40.80,40.769,-112.077,9.9,eq,-0.14,0.23,0.08,-159.9,-158.3,16.1,16.07,0.0,-0.0,-0.05,-0.03,0.05,-0.01,1
9498,2023-05-07,20:38:10.84,40.737,-112.058,8.3,eq,,,0.57,,-74.9,,14.88,,,,,,,1
8333,2022-02-26,01:46:16.51,39.422,-110.306,-2.1,mis,,-0.34,-0.05,-70.3,-140.6,13.29,12.19,,,,,,0.13,2
9191,2022-09-20,02:52:49.02,39.427,-110.298,-2.0,mis,,-0.04,0.05,-94.8,-129.8,12.7,12.0,,0.12,-0.04,0.17,,0.44,2
5375,2020-04-03,13:02:32.05,40.727,-111.963,4.5,eq,,0.44,0.36,-103.0,-108.2,15.73,15.08,,,,,,0.02,1
6052,2020-05-20,01:07:22.75,39.407,-110.308,-1.4,mis,,,,,,,,,,,,,,2
5635,2020-04-15,18:55:13.45,40.733,-112.064,7.7,eq,,,,,,,,,,,,,,1
3398,2019-03-27,06:54:35.69,39.406,-110.31,-1.7,mis,-0.33,-0.13,0.01,-40.4,-108.3,12.93,12.83,,,,,,,2
2568,2017-08-30,11:09:22.32,38.463,-112.815,3.8,eq,,,,,,,,,,,,,,1
1401,2015-04-21,20:38:01.09,41.144,-112.915,-1.5,ex,-0.05,,0.61,,-99.5,,13.78,,,,,,,0
5122,2020-03-24,21:48:45.78,40.741,-112.046,8.9,eq,,,,,,,,,,,,,,1
1888,2016-05-04,21:56:53.24,40.551,-111.355,-2.0,ex,,,,,,,,,,,,,,0
6234,2020-06-17,05:50:44.90,39.41,-110.305,-1.6,mis,-0.49,-0.21,-0.04,-99.2,-89.7,13.37,12.96,0.08,,,,0.4,,2
7898,2021-11-02,01:06:44.81,39.428,-110.319,-1.1,mis,,,,,,,,,,,,,,2
1003,2014-06-28,06:36:01.49,39.287,-111.217,-3.3,mis,-0.13,-0.14,0.44,-74.2,-100.9,15.01,11.71,,,,,,,2
605,2013-10-22,00:13:57.05,40.463,-111.975,-2.0,ex,-0.29,,0.06,,-95.0,,13.43,,,,,,,0
725,2014-01-07,20:10:34.24,40.075,-111.601,9.1,eq,,,,,,,,,,,,,,1
8969,2022-08-17,06:57:18.58,39.429,-110.302,-1.5,mis,-0.41,0.25,0.45,-94.3,-146.1,13.69,12.15,,,,,,,2
2764,2018-02-09,17:54:40.65,41.651,-111.675,9.4,eq,0.4,,0.99,,-69.7,,14.68,,,,,,,1
7760,2021-10-15,03:15:00.14,39.421,-110.3,-2.1,mis,,,,,,,,,,,,,,2
3412,2019-03-31,10:04:36.07,40.471,-111.947,6.3,eq,,,,,,,,,,,,,,1
874,2014-04-20,03:22:51.68,40.58,-112.216,7.4,eq,-0.02,0.23,0.12,-147.3,-151.4,16.8,16.08,0.1,0.08,0.12,0.13,0.1,0.13,1
12,2012-10-04,17:24:48.82,40.527,-112.148,-2.0,ex,0.2,0.26,0.69,-75.1,-118.5,14.12,12.29,,,-0.02,,,,0
3417,2019-04-01,19:49:40.71,39.407,-110.314,-1.3,mis,-0.37,,,,,,,,,,,,,2
3638,2019-10-23,16:28:44.07,37.575,-112.99,8.6,eq,,,,,,,,,,,,,,1
1672,2015-10-27,20:22:35.44,40.376,-111.948,-2.0,ex,-0.22,,,,,,,,,,,,,0
7181,2021-07-14,16:35:24.12,40.719,-112.059,7.8,eq,,,,,,,,,,,,,,1
6079,2020-05-23,19:34:10.98,40.763,-112.111,5.9,eq,,,,,,,,,,,,,,1
3270,2019-02-23,09:47:17.57,40.473,-111.931,8.7,eq,,,,,,,,,,,,,,1
7232,2021-07-28,18:48:26.40,39.43,-110.314,-1.0,mis,,,,,,,,,,,,,,2
6764,2020-12-09,04:19:17.26,40.724,-112.055,8.4,eq,,,,,,,,,,,,,,1
2724,2018-01-09,03:31:30.75,38.43,-113.114,8.3,eq,,,1.15,,-84.2,,12.68,,,,,,,1
2105,2016-10-05,12:47:25.45,39.419,-110.318,-1.7,mis,-0.2,0.29,0.32,-96.9,-80.8,13.63,12.87,-0.01,0.18,0.26,,0.01,,2
1368,2015-03-26,17:30:11.90,37.023,-113.553,-2.0,ex,-0.39,,-0.19,,-88.6,,13.24,,,,,,0.2,0
4204,2020-03-18,22:33:11.59,40.772,-112.074,8.8,eq,,,,,,,,,,,,,,1
6943,2021-03-29,02:39:34.96,38.333,-113.076,4.1,eq,0.05,0.35,0.34,-105.7,-153.1,15.98,15.15,-0.31,-0.35,-0.29,-0.38,-0.26,-0.31,1
4749,2020-03-20,14:14:15.00,40.75,-112.034,7.2,eq,0.03,0.67,0.61,-98.7,-126.1,15.9,15.17,,-0.08,-0.12,-0.05,,0.01,1
4907,2020-03-21,20:12:00.78,40.748,-112.047,8.8,eq,,,,,,,,,,,,,,1
7916,2021-11-03,19:28:09.11,39.425,-110.309,-1.5,mis,,,0.11,,-111.6,,12.89,,,,,,,2
4351,2020-03-19,03:37:51.11,40.761,-112.061,8.7,eq,-0.08,0.54,0.48,-76.1,-129.2,16.6,14.52,,-0.1,-0.05,-0.15,,-0.19,1
5120,2020-03-24,20:15:19.94,40.754,-112.098,4.8,eq,,,,,,,,,,,,,,1
5220,2020-03-28,00:20:07.06,40.756,-112.085,10.9,eq,0.32,0.85,0.83,-114.7,-133.9,16.35,15.02,,-0.03,-0.0,0.02,,-0.03,1
738,2014-01-24,21:06:05.77,38.967,-112.916,-2.0,ex,,0.62,0.41,-92.2,-93.2,13.15,12.55,,,,,,,0
5085,2020-03-24,04:27:15.97,40.747,-112.061,8.4,eq,,,0.74,,-120.1,,15.76,,,,,,-0.43,1
4603,2020-03-19,18:57:53.51,40.766,-112.07,9.0,eq,0.06,0.79,0.7,-117.6,-113.4,15.87,15.12,,-0.03,-0.03,-0.1,,,1
8628,2022-06-28,07:46:30.88,36.928,-112.391,18.1,eq,0.13,0.37,0.3,-124.6,-130.8,16.23,15.13,-0.22,-0.13,-0.1,-0.09,-0.39,-0.2,1
8875,2022-08-04,15:05:08.91,39.427,-110.296,-1.8,mis,-0.51,-0.06,0.17,-62.9,-92.6,12.93,12.33,,,,,,,2
9,2012-10-03,20:02:39.30,40.521,-112.166,-2.0,ex,-0.14,0.0,0.31,-78.6,-99.8,14.49,12.63,0.44,0.32,0.24,0.28,-0.29,-0.36,0
4341,2020-03-19,03:25:34.35,40.755,-112.034,6.9,eq,,,,,,,,,,,,,,1
4337,2020-03-19,03:20:18.92,40.752,-112.034,7.8,eq,,,,,,,,,,,,,,1
8716,2022-07-08,20:05:41.77,39.431,-110.319,-0.9,mis,,0.16,0.2,-100.8,-139.7,13.05,12.93,0.03,,,,,,2
4036,2020-03-18,17:57:37.33,40.757,-112.051,10.1,eq,-0.09,0.46,0.41,-114.3,-135.0,16.21,15.47,-0.03,-0.09,-0.05,-0.08,-0.04,-0.11,1
8188,2022-01-30,11:58:24.66,40.729,-112.028,6.3,eq,,,,,,,,,,,,,,1
2565,2017-08-29,09:41:54.17,39.522,-111.987,11.9,eq,,0.67,0.56,-101.9,-133.8,14.98,14.21,0.21,0.07,-0.03,0.02,0.02,0.03,1
3342,2019-03-14,07:40:46.06,39.407,-110.322,-1.1,mis,-0.51,0.05,0.06,-89.1,-135.3,13.68,13.14,0.2,0.04,0.08,0.08,,0.62,2
1542,2015-08-07,19:46:37.73,40.812,-111.894,-2.0,ex,-0.36,,,,,,,,,,,,,0
3613,2019-09-19,00:52:37.63,38.575,-112.895,7.3,eq,,,,,,,,,,,,,,1
7290,2021-08-04,04:20:46.10,40.728,-112.026,8.9,eq,0.02,,,,,,,,,,,,,1
910,2014-05-11,13:26:55.11,41.954,-112.304,7.0,eq,,,,,,,,,,,,,,1
8525,2022-05-10,13:56:44.84,40.73,-112.071,10.2,eq,,,0.63,,-75.0,,14.14,,,,,,,1
2390,2017-06-05,19:07:45.89,41.135,-112.918,-1.5,ex,0.01,0.31,0.13,-90.6,-76.5,14.39,14.03,-0.03,0.06,,,,,0
5466,2020-04-08,03:55:51.45,40.741,-112.04,9.2,eq,-0.23,,0.6,,-92.6,,15.09,,,,,,,1
8436,2022-03-24,10:10:50.63,40.746,-111.943,6.1,eq,,,,,,,,,,,,,,1
462,2013-07-24,22:21:56.56,40.393,-111.965,-2.0,ex,-0.49,,,,,,,,,,,,,0
3998,2020-03-18,17:04:06.78,40.751,-112.043,7.5,eq,-0.27,0.75,0.8,-86.0,-117.7,16.6,15.78,-0.17,-0.43,-0.56,-0.56,0.01,-0.02,1
8911,2022-08-09,18:04:54.74,39.428,-110.306,-1.2,mis,-0.44,0.3,0.44,-101.5,-68.9,13.82,13.53,,,,,0.25,,2
1396,2015-04-20,20:35:44.14,40.822,-111.902,-2.0,ex,-0.5,,,,,,,,,,,,,0
642,2013-11-09,22:13:15.79,39.303,-111.742,18.6,eq,0.46,,0.9,,-141.5,,14.72,,,,,,-0.11,1
7341,2021-08-19,16:32:15.54,39.429,-110.319,-0.8,mis,,,,,,,,,,,,,,2
4705,2020-03-20,07:08:23.10,40.767,-112.077,9.6,eq,,,,,,,,,,,,,,1
7863,2021-10-28,06:16:33.00,39.428,-110.314,-1.2,mis,,,0.11,,-133.2,,12.48,,,,,,,2
7951,2021-11-09,20:39:02.32,39.431,-110.331,-1.2,mis,,,,,,,,,,,,,,2
5460,2020-04-07,05:52:40.10,39.411,-110.308,-1.2,mis,,,0.47,,-130.4,,12.28,,,,,,,2
8486,2022-04-09,08:57:02.89,41.648,-112.387,6.7,eq,,,,,,,,,,,,,,1
2903,2018-06-16,13:14:26.18,40.724,-111.796,-2.0,ex,-0.05,,,,,,,,,,,,,0
6820,2021-01-18,10:36:38.56,36.971,-112.93,19.9,eq,0.12,0.21,0.17,-140.3,-140.7,16.87,15.9,-0.16,-0.19,-0.18,-0.14,-0.17,-0.24,1
7518,2021-09-11,02:22:59.02,39.424,-110.296,-2.2,mis,,0.14,,-93.4,,15.71,,,,,,,,2
5666,2020-04-16,17:07:36.54,40.736,-112.061,8.7,eq,-0.22,,0.63,,-124.0,,13.5,,,,,,,1
4612,2020-03-19,19:48:26.50,40.74,-112.07,9.5,eq,,,,,,,,,,,,,,1
7305,2021-08-07,12:08:53.70,40.718,-111.96,3.4,eq,-0.2,,,,,,,,,,,,,1
1059,2014-07-30,14:08:18.90,40.136,-111.776,13.8,eq,,,,,,,,,,,,,,1
