   Date       Time      Lat     Lon     Dep  Tag   F1    F2    F3    F4     F5    F6    F7     F8    F9   F10   F11   F12
2012-12-13 00:24:56.01 42.168 -112.546  6.35  eq  0.17  0.67  0.58 -105.4 -118.6 14.99 14.71 -0.26 -0.11  0.04  0.17  0.43
2012-12-15 00:12:48.94 40.497 -112.161 -2.00  ex -0.19  0.43  0.22  -97.7 -121.7 13.32 12.77 -0.11  0.08  0.26  0.10  0.30
2012-12-16 04:39:26.72 36.953 -112.400 23.67  eq  0.04  0.32  0.22 -128.7 -136.2 16.53 15.48 -0.52 -0.37 -0.31  0.11  0.26
2012-12-20 23:40:46.41 40.492 -112.159 -2.00  ex -0.03  0.26  0.53  -80.7 -130.6 14.92 12.16  0.14  0.07  0.05  0.61  0.42
2013-01-01 21:32:19.29 41.122 -111.603  7.73  eq  0.13  0.45  0.46 -113.2 -131.4 16.11 15.24 -0.47 -0.34 -0.23  0.02  0.24
2013-01-18 08:16:33.11 38.228 -111.279  7.99  eq  0.04  0.70  0.61 -115.8 -149.5 15.58 14.99 -0.46 -0.33 -0.32  0.09  0.23
2013-01-18 08:25:35.38 38.225 -111.285  7.86  eq  0.03  0.84  0.74 -106.6 -127.6 16.32 14.76 -0.49 -0.33 -0.37  0.05  0.12
2013-01-18 08:43:22.83 38.225 -111.280  7.92  eq -0.26  0.53  0.49 -117.1 -130.8 15.83 15.71 -0.66 -0.41 -0.38 -0.04  0.14
2013-01-18 18:20:57.66 40.526 -112.167 -2.00  ex -0.06  0.24  0.31 -109.6 -123.0 13.23 12.51 -0.21  0.03 -0.00  0.29  0.35
2013-01-19 02:35:17.08 38.224 -111.281  8.20  eq -0.04  0.52  0.40 -119.7 -151.2 15.89 15.01 -0.38 -0.27 -0.19  0.02  0.20
2013-01-21 03:38:55.68 39.229 -110.466 12.36  eq -0.19  0.12  0.11 -107.5 -134.5 16.50 15.78 -0.39 -0.34 -0.17  0.10  0.25
2013-01-22 23:23:06.02 40.495 -112.164 -2.00  ex -0.14  0.22  0.16  -77.1 -108.1 13.23 13.11 -0.31 -0.20  0.17  0.35  0.77
2013-01-25 15:44:37.25 37.467 -112.277 17.03  eq -0.05  0.46  0.26 -137.5 -148.3 16.36 15.40 -0.47 -0.29 -0.30 -0.05  0.18
2013-01-27 23:29:52.56 40.493 -112.153 -2.00  ex -0.08  0.22  0.43  -79.3  -97.5 14.02 12.72 -0.16  0.12  0.29  0.14  0.47
2013-02-02 20:04:59.85 40.521 -112.167 -2.00  ex  0.07  0.52  0.29  -86.0 -115.4 15.22 12.51 -0.12  0.01  0.16  0.03  0.27
2013-02-13 23:07:50.47 40.671 -109.481 -2.00  ex -0.33 -0.39 -0.37  -95.6 -101.7 14.40 14.72 -0.41 -0.26 -0.21  1.03  1.22
2013-02-22 20:32:44.13 40.500 -112.144 -2.00  ex  0.02  0.10  0.18  -73.5  -89.6 13.82 12.62 -0.29 -0.19 -0.11 -0.01  0.21
2013-02-27 21:22:54.47 40.507 -112.139 -2.00  ex -0.15  0.39  0.25  -86.5 -114.7 13.47 12.64 -0.19 -0.07  0.17  0.25  0.45
2013-03-03 21:34:51.25 40.497 -112.178 -2.00  ex  0.11  0.24  0.13 -101.3  -98.2 13.47 13.59 -0.27 -0.20 -0.08 -0.14  0.09
2013-03-07 23:31:18.88 40.496 -112.174 -2.00  ex -0.19  0.59  0.26 -112.4  -91.1 12.83 12.31 -0.17  0.02  0.09  0.31  0.53
2013-03-12 22:43:40.94 40.519 -112.162 -2.00  ex -0.18  0.16  0.12  -82.8  -97.2 13.43 12.47 -0.33 -0.21 -0.12  0.42  0.61
2013-03-15 20:36:46.02 38.146 -111.269  7.84  eq -0.26  0.66  0.61 -124.8 -135.5 16.17 14.83 -0.49 -0.48 -0.46 -0.05  0.08
2013-03-17 23:41:54.58 40.774 -111.967  5.02  eq -0.41  0.42  0.18 -104.9 -138.9 16.19 15.30 -0.40 -0.24 -0.03  0.09  0.36
2013-03-19 01:25:51.04 38.146 -111.270  7.95  eq -0.03  0.45  0.31 -129.8 -151.1 15.98 15.05 -0.36 -0.31 -0.20  0.26  0.37
2013-03-20 21:38:23.94 40.767 -111.967  5.04  eq -0.22  0.61  0.48 -110.3 -131.2 15.77 15.15 -0.28 -0.17  0.11  0.03  0.35
2013-03-21 01:02:25.71 40.767 -111.969  4.30  eq -0.23  0.56  0.44 -100.7 -120.3 15.85 15.05 -0.27 -0.17  0.05  0.00  0.21
2013-03-23 07:06:08.35 37.017 -113.597 -2.00  ex -0.29 -0.34 -0.39  -90.1 -121.3 13.86 13.77 -0.40 -0.14 -0.02  0.27  0.56
2013-04-02 06:13:44.12 37.205 -112.882 18.75  eq  0.28  0.84  0.62 -113.4 -113.7 16.41 15.62 -0.42 -0.30 -0.17 -0.03  0.10
2013-04-02 12:03:59.21 40.726 -111.983  8.58  eq  0.12  0.85  0.72 -111.3 -113.9 16.33 14.92 -0.36 -0.38 -0.15 -0.04  0.19
2013-04-02 15:17:38.30 36.890 -112.424 20.22  eq  0.36  0.44  0.38 -137.1 -161.3 17.17 15.99 -0.61 -0.42 -0.33 -0.07  0.26
2013-04-03 00:06:59.32 41.789 -112.740  4.32  eq  0.41  0.67  0.62 -114.7 -126.4 16.99 15.45 -0.82 -0.64 -0.42 -0.11  0.21
2013-04-03 22:04:41.27 40.497 -112.162 -2.00  ex -0.11  0.27  0.25  -68.9  -99.8 14.41 12.66 -0.23  0.07  0.25 -0.12  0.25
2013-04-03 23:00:45.12 40.474 -111.964 -2.00  ex -0.49  0.27 -0.17  -87.9 -101.6 12.60 13.14 -0.13 -0.10  0.08  0.42  0.66
2013-04-09 21:56:48.70 40.495 -112.162 -2.00  ex -0.14  0.01  0.23  -78.5 -135.0 13.77 12.32 -0.29 -0.12 -0.08  0.07  0.35
2013-04-18 16:37:23.19 40.501 -112.175 -2.00  ex -0.22  0.37  0.11 -100.7 -122.6 13.04 13.06 -0.44 -0.44 -0.24  0.45  0.72
2013-04-18 22:43:44.62 40.578 -109.562 -2.00  ex -0.23 -0.23 -0.24 -100.7 -113.2 12.51 12.84 -0.57 -0.52 -0.39  0.43  0.61
2013-04-19 22:05:22.95 40.489 -112.178 -2.00  ex -0.02  0.18  0.57  -82.5 -106.8 14.23 12.09 -0.24 -0.01  0.14  0.00  0.39
2013-04-21 18:30:00.31 40.502 -112.166 -2.00  ex  0.05  0.28  0.73  -92.3 -117.8 14.92 12.01 -0.10 -0.06  0.03  0.08  0.35
2013-04-23 23:48:09.33 40.489 -112.169 -2.00  ex  0.00  0.34  0.45  -87.0 -134.2 14.56 12.32 -0.11 -0.08  0.03  0.18  0.48
2013-05-02 21:47:28.87 40.631 -109.515 -2.00  ex -0.22 -0.24 -0.28  -92.7 -102.5 13.92 13.68 -0.62 -0.35 -0.41  0.87  1.13
2013-05-04 20:25:43.36 40.500 -112.188 -2.00  ex  0.28  0.59  0.78  -80.1 -113.0 13.01 11.64 -0.42  0.02 -0.12  0.15  0.14
2013-05-06 10:28:33.80 37.575 -113.287  7.00  eq -0.23  0.46  0.41 -122.3 -141.0 16.85 15.48 -0.34 -0.47 -0.36 -0.06  0.07
2013-05-07 05:44:35.63 37.187 -112.891 20.31  eq  0.19  0.47  0.48 -134.8 -129.5 17.22 15.61 -0.67 -0.57 -0.50 -0.06  0.19
2013-05-08 22:53:17.13 40.589 -109.524 -2.00  ex -0.10 -0.06 -0.13 -115.5 -132.7 13.56 13.63 -0.63 -0.45 -0.51  0.57  0.82
2013-05-14 22:04:44.92 40.523 -112.151 -2.00  ex  0.03  0.23  0.16  -81.1  -92.5 14.69 13.18 -0.57 -0.42  0.13  0.10  0.46
2013-05-25 17:59:02.21 41.889 -112.409  7.52  eq  0.36  0.70  0.76 -101.9 -125.2 16.30 15.25 -0.51 -0.51 -0.25 -0.09  0.16
2013-06-14 13:58:28.27 37.109 -113.865  9.64  eq -0.06  0.23  0.20 -140.8 -145.4 17.47 16.17 -0.59 -0.40 -0.35  0.00  0.23
2013-06-20 12:43:28.33 37.572 -113.289  5.97  eq -0.18  0.33  0.29 -117.1 -119.1 15.89 15.26 -0.72 -0.55 -0.54 -0.09  0.13
2013-06-24 20:27:49.96 41.137 -112.919 -1.50  ex  0.03  0.43  0.28  -86.7  -84.8 14.48 14.41 -0.46 -0.28 -0.39  0.70  0.81
2013-06-26 23:33:29.12 40.497 -112.172 -2.00  ex  0.03  0.21  0.43  -77.5 -118.1 14.23 12.19 -0.18 -0.10  0.26  0.12  0.38
2013-07-01 08:37:21.24 40.673 -112.057 10.30  eq  0.20  0.74  0.65 -133.2 -138.4 16.28 15.52 -0.43 -0.43 -0.32 -0.05  0.19
2013-07-01 19:47:10.86 41.785 -111.645  8.61  eq  0.23  0.74  0.77 -124.1 -133.3 15.86 14.54 -0.58 -0.58 -0.32 -0.06  0.20
2013-07-06 19:13:08.42 40.502 -112.177 -2.00  ex  0.02  0.26  0.22  -79.1  -98.3 14.90 13.29 -0.29 -0.27 -0.14  0.13  0.35
2013-07-08 19:30:45.23 41.132 -112.906 -1.50  ex -0.07  0.41  0.29  -96.0 -108.8 15.09 14.34 -0.53 -0.22 -0.17  0.33  0.80
2013-07-09 00:06:37.86 40.484 -111.353 12.03  eq  0.11  0.51  0.55 -128.9 -135.3 15.42 14.95 -0.69 -0.54 -0.51  0.05  0.31
2013-07-09 04:01:54.06 40.488 -111.350 11.78  eq  0.16  0.76  0.70 -109.3 -129.9 14.69 14.35 -0.56 -0.53 -0.56  0.11  0.18
2013-07-11 08:08:40.42 40.723 -112.058 11.05  eq  0.27  0.65  0.68 -148.7 -151.9 15.95 15.20 -0.66 -0.57 -0.47 -0.04  0.12
2013-07-11 21:50:27.58 40.616 -109.529 -2.00  ex -0.46 -0.51 -0.40 -101.8 -102.4 14.60 14.17 -0.46 -0.29 -0.27  0.77  1.03
2013-07-14 20:42:48.66 40.492 -112.169 -2.00  ex -0.10  0.08  0.15  -75.8 -108.9 14.68 13.92 -0.56 -0.54 -0.39 -0.06  0.31
2013-07-20 19:22:33.48 37.465 -113.931  6.91  eq -0.32  0.56  0.39 -118.9 -142.1 16.87 15.77 -0.54 -0.39 -0.16 -0.24  0.10
2013-07-22 18:04:31.00 41.134 -112.910 -1.50  ex  0.04  0.36  0.27  -89.8  -88.6 14.46 14.45 -0.49 -0.17 -0.20  0.50  0.82
2013-07-22 23:00:46.30 40.500 -112.184 -2.00  ex  0.12  0.29  0.34  -89.9 -131.8 13.62 12.73 -0.35 -0.33 -0.08  0.07  0.31
2013-07-26 12:48:06.40 37.051 -112.979 16.47  eq  0.00  0.45  0.38 -119.5 -116.8 15.76 15.02 -0.69 -0.67 -0.59 -0.12 -0.14
2013-07-30 23:01:25.71 40.499 -112.195 -2.00  ex -0.25  0.12 -0.09  -80.7 -130.5 13.69 12.87 -0.36 -0.18 -0.08  0.08  0.35
2013-07-31 03:23:19.01 39.542 -112.184 -2.00  ex  0.00  0.11  0.35  -87.2 -125.7 13.54 12.74 -0.50 -0.13  0.05  0.35  0.79
