    Date      Time       Elat     Elon    Dep  Tag    F01    F02    F03    F04    F05    F06    F07    F08    F09    F10    F11    F12    F13
2012-10-14 19:14:36.88  40.521  -112.168  -2.0  ex  -0.02   0.21   0.13  -83.3  -77.9  14.66  13.64   0.17  -0.04   0.23   0.23      X   0.21
2012-10-14 22:45:38.38  40.504  -112.170  -2.0  ex  -0.05   0.57   0.24  -72.2 -119.0  12.78  13.16   0.22   0.24   0.10   0.34   0.39   0.45
2012-10-15 11:38:55.00  39.488  -111.735   8.7  eq      X      X   0.99      X -115.1      X  14.32      X      X      X      X      X      X
2012-10-15 18:33:22.86  40.523  -112.156  -2.0  ex  -0.03   0.45   0.40  -89.9 -101.1  13.45  12.68      X      X      X      X      X   0.28
2012-10-15 20:37:47.86  41.136  -112.920  -1.5  ex  -0.23      X   0.41      X  -76.3      X  14.24      X      X      X      X      X   0.69
2012-10-15 22:17:31.76  38.957  -112.920  -2.0  ex   0.26   0.81   0.37  -74.8  -91.9  12.86  12.71   0.16   0.08      X      X      X      X
2012-10-15 22:24:33.58  41.132  -112.903  -1.5  ex      X      X   0.31      X -108.1      X  13.97      X      X      X      X      X      X
2012-10-15 22:26:12.41  40.521  -112.150  -2.0  ex   0.01   0.60   0.63  -75.0 -114.8  12.85  12.02   0.31   0.33   0.35      X   0.43   0.38
2012-10-15 23:45:55.09  40.472  -111.955  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-10-16 09:44:17.38  39.313  -112.114  11.5  eq      X      X   0.82      X -110.6      X  13.46      X      X      X      X      X      X
2012-10-16 11:54:52.38  37.074  -112.924  22.4  eq   0.44   0.70   0.73 -115.9 -138.8  16.30  15.77   0.01  -0.19  -0.08  -0.24  -0.06  -0.32
2012-10-16 11:55:12.68  37.098  -112.928  18.3  eq   0.41      X      X      X      X      X      X      X      X      X      X      X      X
2012-10-16 16:05:29.05  41.136  -112.915  -1.5  ex  -0.19      X      X      X      X      X      X      X      X      X      X      X      X
2012-10-16 17:15:57.87  41.142  -112.893  -1.5  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-10-16 20:02:27.93  38.217  -109.220  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-10-16 22:16:05.66  40.487  -112.174  -2.0  ex  -0.15  -0.01   0.19  -57.6 -114.0  14.75  12.35      X   0.27   0.30      X      X   0.08
2012-10-17 18:47:38.36  40.516  -112.163  -2.0  ex   0.09   0.45   0.27  -88.4 -122.9  13.84  12.84   0.01   0.14   0.27   0.37   0.04   0.13
2012-10-17 19:14:37.85  41.154  -112.934  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-10-17 23:23:23.66  40.505  -112.179  -2.0  ex   0.05   0.44   0.37 -108.4 -122.3  13.19  12.21   0.21   0.33   0.29   0.28   0.03   0.18
2012-10-18 17:08:09.68  40.522  -112.152  -2.0  ex   0.15   0.16   0.75  -58.4 -150.3  13.70  11.97      X      X      X      X      X   0.23
2012-10-18 19:10:50.48  41.676  -111.644   9.7  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-10-18 22:17:54.12  40.497  -112.159  -2.0  ex   0.12   0.19   0.84  -82.6 -103.9  13.94  11.97      X      X      X      X   0.08  -0.16
2012-10-19 17:39:29.35  40.526  -112.150  -2.0  ex   0.20   0.34   0.87  -66.9  -79.9  14.84  12.75      X      X      X      X      X      X
2012-10-19 23:25:30.30  40.492  -112.167  -2.0  ex  -0.01   0.26   0.47  -59.8 -111.6  13.53  12.29      X   0.24   0.23   0.26      X   0.42
2012-10-20 04:04:38.17  40.933  -111.385  11.4  eq   0.17   1.16   0.62  -86.8 -122.2  16.65  14.69      X  -0.09  -0.09  -0.10      X   0.03
