    Date      Time       Elat     Elon    Dep  Tag    F01    F02    F03    F04    F05    F06    F07    F08    F09    F10    F11    F12    F13
2017-05-11 21:03:19.93  40.617  -109.478  -2.0  ex  -0.22      X  -0.51      X -101.0      X  13.96      X      X      X      X      X      X
2017-05-11 21:03:20.76  40.607  -109.547  -2.0  ex  -0.20      X  -0.14      X  -92.5      X  13.57      X      X      X      X      X      X
2017-05-11 21:05:33.90  39.547  -112.194  -2.0  ex   0.13   0.10      X  -44.2      X  14.67      X      X      X      X      X      X      X
2017-05-12 00:08:08.17  41.601  -112.254  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-05-12 17:29:01.50  39.292  -111.205  -2.8 mis  -0.47      X   0.05      X -139.7      X  11.92      X      X      X      X      X   0.07
2017-05-15 19:01:44.83  40.843  -111.577  10.6  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-05-15 19:02:21.92  40.848  -111.577  12.6  eq   0.05   0.62   0.33 -107.8 -116.7  16.72  13.95      X      X   0.17   0.26      X   0.08
2017-05-15 20:25:44.86  37.583  -112.826  17.2  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-05-16 18:00:11.20  37.412  -112.469  -2.0  ex   0.05  -0.46   0.50  -46.8 -108.2  14.57  12.41      X      X      X      X      X      X
2017-05-16 21:15:06.16  41.574  -112.255  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-05-17 19:03:33.95  40.257  -111.884  -2.0  ex  -0.49      X  -0.45      X  -69.5      X  12.84      X      X      X      X      X      X
2017-05-18 16:27:44.16  40.513  -112.111  -2.0  ex   0.01   0.00   0.74  -61.8 -113.9  14.20  12.01      X      X      X      X      X      X
2017-05-18 21:49:29.95  37.946  -111.193  26.4  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-05-19 19:03:32.38  38.449  -113.073  -2.0  ex   0.01      X  -0.03      X  -70.7      X  12.25      X      X      X      X      X      X
2017-05-19 19:21:45.43  41.822  -112.366   9.7  eq   0.22   0.78   0.57 -104.2 -122.6  16.37  14.72      X  -0.07  -0.02  -0.01      X  -0.00
2017-05-22 19:29:04.33  41.135  -112.913  -1.5  ex  -0.13   0.34   0.19  -77.5  -71.4  14.48  14.32  -0.12   0.00   0.03      X   0.64      X
2017-05-24 03:28:32.86  40.337  -111.798   6.9  eq   0.27      X      X      X      X      X      X      X      X      X      X      X      X
2017-05-24 18:55:58.62  41.134  -112.918  -1.5  ex  -0.08      X   0.30      X -107.3      X  13.90      X      X      X      X      X      X
2017-05-24 19:52:44.88  40.813  -111.910  -2.0  ex  -0.68      X      X      X      X      X      X      X      X      X      X      X      X
2017-05-26 09:09:58.69  40.755  -111.946   6.4  eq  -0.26   0.67   0.58  -88.9 -110.4  15.83  14.73      X      X   0.05      X      X  -0.02
2017-05-26 18:44:47.17  40.231  -111.895  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-05-27 06:59:12.32  38.470  -112.803   4.5  eq   0.32      X   0.60      X -116.2      X  16.32      X  -0.08   0.01  -0.12      X  -0.23
2017-05-27 07:22:21.44  38.478  -112.869   5.7  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-05-27 09:15:09.45  40.860  -111.592   9.9  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-05-27 21:27:14.25  40.507  -112.142  -2.0  ex  -0.31  -0.10  -0.04 -101.0 -137.7  13.63  12.90   0.15   0.11   0.20   0.22   0.35   0.51
2017-05-30 19:13:36.45  40.638  -109.462  -2.0  ex  -0.06  -0.05  -0.22 -108.5 -130.6  14.99  13.81   0.02   0.04   0.09   0.07   0.13   0.03
2017-05-30 19:51:14.41  40.103  -111.823  -2.0  ex  -0.60      X      X      X      X      X      X      X      X      X      X      X      X
2017-05-31 20:21:25.11  39.725  -112.083  -2.0  ex  -0.10      X   0.11      X -104.2      X  13.34      X      X      X      X      X      X
2017-06-01 02:21:44.82  39.695  -111.864   9.0  eq      X      X   1.00      X  -65.4      X  13.40      X      X      X      X      X      X
2017-06-01 20:45:00.30  40.618  -109.474  -2.0  ex  -0.42  -0.56  -0.68  -91.0 -143.4  14.95  15.51   0.03   0.06   0.17   0.15   0.08   0.12
2017-06-02 20:48:32.73  40.504  -112.146  -2.0  ex  -0.02      X      X      X      X      X      X      X      X      X      X      X      X
2017-06-05 12:28:18.92  38.763  -112.041  12.4  eq   0.15      X   0.63      X -130.1      X  14.10      X      X      X      X      X      X
2017-06-05 14:23:28.90  38.269  -112.645   6.0  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-06-05 18:10:56.54  40.819  -111.880  -2.0  ex  -0.49      X      X      X      X      X      X      X      X      X      X      X      X
2017-06-05 19:07:45.89  41.135  -112.918  -1.5  ex   0.01   0.31   0.13  -90.6  -76.5  14.39  14.03  -0.03   0.06      X      X      X      X
2017-06-07 16:24:41.04  40.723  -111.787  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-06-07 19:38:51.01  41.136  -112.904  -1.5  ex   0.05   0.38   0.23  -73.1 -102.6  14.84  14.35  -0.08   0.04      X      X   0.40   0.52
2017-06-07 20:24:26.00  40.468  -111.987  -2.0  ex  -0.41   0.59      X  -48.8      X  13.14      X      X      X      X      X      X      X
2017-06-09 20:04:03.60  40.633  -109.469  -2.0  ex  -0.27   0.66  -0.47  -75.7 -107.5  12.43  13.92  -0.29  -0.23  -0.25  -0.44   0.58   0.63
2017-06-10 20:47:55.94  40.501  -112.165  -2.0  ex   0.11   0.32   0.54  -69.9 -121.6  13.90  12.27      X      X   0.06      X      X   0.12
2017-06-14 05:43:32.68  37.514  -113.823   6.2  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-06-15 08:56:47.45  37.040  -112.879  17.3  eq  -0.36      X   0.06      X -104.6      X  14.16      X      X      X      X      X      X
2017-06-15 19:39:34.99  41.142  -112.914  -1.5  ex  -0.14   0.29   0.28  -82.8  -73.5  14.34  14.38      X  -0.14   0.07      X      X      X
2017-06-15 20:47:27.27  41.138  -112.910  -1.5  ex  -0.24   0.42   0.35  -80.5 -106.2  14.66  13.97      X      X      X      X   0.31   0.51
2017-06-16 16:28:03.70  40.009  -111.807  -2.0  ex  -0.59      X      X      X      X      X      X      X      X      X      X      X      X
2017-06-18 00:54:54.01  39.233  -110.464  12.6  eq  -0.32  -0.05   0.15 -105.2 -124.4  16.54  15.41      X  -0.38  -0.47  -0.52      X  -0.51
2017-06-18 22:00:05.80  40.515  -112.163  -2.0  ex  -0.07   0.27   0.45  -98.9 -153.7  13.02  12.23   0.08   0.09   0.25   0.38   0.23   0.59
2017-06-19 08:18:41.94  37.056  -112.313  21.3  eq  -0.11   0.40   0.41 -113.9 -110.1  15.94  14.49      X  -0.11  -0.03  -0.09      X  -0.48
2017-06-19 19:50:14.31  41.135  -112.925  -1.5  ex  -0.07   0.28   0.15  -89.2  -84.7  14.64  14.45  -0.08  -0.03   0.05  -0.03   0.52   0.68
2017-06-20 00:03:25.57  40.819  -111.889  -2.0  ex  -0.22   0.65   0.63  -73.0 -118.7  12.49  11.63   0.14   0.22   0.29      X   0.06      X
2017-06-20 05:29:10.72  40.468  -111.930   7.0  eq  -0.12      X   0.78      X -138.0      X  14.69      X      X      X      X      X      X
2017-06-20 06:27:33.43  37.524  -113.820   6.4  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-06-20 16:35:01.05  40.292  -111.236  10.0  eq      X   0.87   0.77  -67.8  -93.6  14.51  14.16      X   0.07  -0.14  -0.10      X   0.10
2017-06-20 20:01:59.97  41.138  -112.920  -1.5  ex  -0.19   0.18   0.09  -87.0  -81.8  14.24  14.34  -0.07  -0.06   0.10      X   0.66      X
2017-06-21 00:10:49.51  40.256  -111.947  -2.0  ex  -0.21   0.80   0.78  -67.8  -99.3  12.31  11.05      X      X      X      X      X      X
2017-06-21 17:33:21.30  37.050  -112.877  18.0  eq      X      X   0.43      X -114.0      X  15.56      X      X      X      X      X      X
2017-06-21 18:27:07.83  41.339  -112.019  -2.0  ex  -0.28   0.25   0.09  -69.2 -101.7  14.75  13.07      X      X      X      X      X      X
2017-06-21 18:27:14.61  40.463  -111.937   7.3  eq      X   0.78   1.07  -90.8 -123.4  14.65  12.96      X  -0.05  -0.05   0.10      X   0.32
2017-06-22 00:15:05.89  40.464  -111.933   7.4  eq      X      X   0.93      X -115.5      X  13.54      X      X      X      X      X      X
2017-06-22 11:06:45.06  40.478  -111.937   4.5  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-06-23 18:32:48.49  40.821  -111.889  -2.0  ex  -0.28      X      X      X      X      X      X      X      X      X      X      X      X
2017-06-24 12:20:19.67  40.465  -111.937   5.7  eq  -0.65   0.53   0.49 -112.0 -143.7  15.22  15.01  -0.13  -0.25  -0.25  -0.28   0.03   0.01
2017-06-24 12:20:31.82  40.468  -111.940   6.7  eq   0.03   0.76   0.52 -110.1 -133.9  15.44  14.97   0.04   0.08   0.08   0.13  -0.00   0.04
2017-06-24 12:37:49.03  40.475  -111.938   6.3  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-06-24 13:40:39.65  40.465  -111.933   7.6  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-06-24 16:54:52.61  36.904  -112.961  22.3  eq  -0.26      X   0.15      X -115.6      X  14.71      X      X      X      X      X  -0.44
2017-06-24 18:36:45.70  40.465  -111.933   6.8  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-06-24 21:21:35.02  40.464  -111.943   7.1  eq   0.00   0.55   0.41 -125.9 -155.0  15.63  15.07  -0.06  -0.06  -0.07  -0.04  -0.19  -0.06
2017-06-24 22:04:08.22  40.456  -111.928   8.0  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-06-24 22:49:56.20  40.466  -111.932   6.6  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-06-25 21:20:09.89  40.463  -111.943   7.1  eq  -0.07   0.70   0.52 -128.0 -136.9  14.92  15.30  -0.07  -0.01  -0.10  -0.01  -0.01   0.10
2017-06-25 21:57:06.29  40.467  -111.934   6.0  eq      X      X   0.90      X -132.9      X  13.21      X      X      X      X      X      X
2017-06-26 02:21:00.78  37.200  -113.865  11.5  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-06-26 07:22:29.36  40.474  -111.934   5.6  eq      X      X   0.88      X  -84.6      X  12.98      X      X      X      X      X      X
2017-06-26 12:12:41.15  40.465  -111.939   6.2  eq  -0.03   0.66   0.58  -97.3 -136.6  15.19  14.64  -0.04   0.04   0.04   0.09  -0.37  -0.01
2017-06-26 12:14:55.37  40.474  -111.933   4.5  eq  -0.04   0.59   0.53 -123.3 -133.0  15.27  14.60      X   0.04   0.02   0.07  -0.27  -0.01
2017-06-26 16:08:24.23  40.471  -111.934   5.7  eq      X      X   0.73      X -144.3      X  13.56      X      X      X      X      X   0.17
2017-06-26 19:15:21.15  40.468  -111.937   7.4  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-06-26 20:55:12.62  40.469  -111.926   6.6  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-06-26 21:07:55.22  40.514  -112.161  -2.0  ex  -0.03   0.27  -0.19  -69.5  -80.3  14.28  13.58      X      X      X      X      X      X
2017-06-27 17:28:50.77  41.135  -112.919  -1.5  ex   0.13      X   0.32      X  -83.5      X  14.44      X      X      X      X      X      X
2017-06-27 18:39:31.94  41.137  -112.932  -1.5  ex  -0.01   0.41   0.26  -80.0  -84.2  14.08  14.27      X      X      X      X      X      X
2017-06-27 20:26:33.12  36.997  -112.859  17.3  eq  -0.74      X  -0.17      X -113.0      X  14.83      X      X      X      X      X      X
2017-06-27 20:55:48.73  41.142  -112.915  -1.5  ex  -0.06   0.24   0.09  -88.6 -102.9  14.27  14.09   0.00   0.12      X      X   0.32   0.50
2017-06-28 04:19:41.31  40.461  -111.925   7.8  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-06-28 13:55:45.95  40.468  -111.931   7.6  eq      X   0.59   0.66  -82.4  -98.4  15.40  13.29      X      X      X      X      X      X
2017-06-28 19:13:05.57  40.468  -111.934   6.2  eq  -0.35      X   0.38      X  -98.9      X  13.95      X      X      X      X      X      X
2017-06-28 21:06:53.06  41.137  -112.910  -1.5  ex   0.07   0.37   0.25  -79.3  -76.4  14.94  14.49  -0.04   0.02   0.13      X      X      X
2017-06-29 16:52:15.77  36.894  -112.476  18.2  eq  -0.01      X   0.57      X -111.2      X  14.52      X      X      X      X      X  -0.37
2017-06-30 06:03:12.12  36.900  -112.475  18.4  eq  -0.15      X   0.20      X -117.2      X  14.99      X      X      X      X      X  -0.62
2017-06-30 08:28:18.34  41.655  -112.409   6.8  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-06-30 16:15:59.07  40.722  -111.793  -2.0  ex   0.10      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-01 09:38:09.74  40.466  -111.926   7.3  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-01 10:13:14.53  40.471  -111.931   6.6  eq  -0.62      X   0.56      X -115.8      X  14.38      X      X      X      X      X      X
2017-07-02 08:39:39.04  40.473  -111.931   5.6  eq  -0.04   0.66   0.57 -116.5 -136.4  15.50  14.65   0.07   0.02   0.01   0.05  -0.25  -0.02
2017-07-02 10:26:39.82  40.599  -111.579  10.7  eq   0.16      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-02 10:37:18.14  40.596  -111.587  12.0  eq   0.07   0.53   0.46 -148.4 -159.5  15.59  15.23  -0.05  -0.07  -0.10  -0.11  -0.05  -0.04
2017-07-02 11:21:44.72  40.549  -111.676   8.8  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-02 11:36:52.09  40.596  -111.585   8.9  eq   0.47      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-02 11:37:36.23  40.588  -111.583  10.5  eq      X      X   0.90      X  -99.6      X  15.27      X      X      X      X      X  -0.04
2017-07-03 00:53:29.79  40.595  -111.582  11.5  eq   0.45      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-03 06:56:58.12  40.597  -111.583  11.1  eq   0.56      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-03 09:25:19.22  40.597  -111.579  10.4  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-03 15:26:29.14  40.578  -111.579  11.3  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-03 22:02:04.69  40.605  -111.581  11.2  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-04 16:32:42.06  39.294  -111.092  -0.5 mis  -0.31  -0.06   0.13 -101.7 -113.1  14.80  14.25  -0.33  -0.11  -0.15  -0.19   0.13   0.35
2017-07-04 17:11:03.61  40.599  -111.579  11.9  eq   0.39   1.08   0.74 -103.5 -108.6  14.02  14.74      X   0.27   0.17   0.24      X  -0.07
2017-07-04 17:51:30.17  40.599  -111.587  10.3  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-04 20:58:46.36  40.507  -112.166  -2.0  ex   0.00   0.46   0.86  -76.8 -135.5  13.20  11.52   0.18   0.07   0.21   0.37  -0.26   0.08
2017-07-04 22:24:02.25  40.472  -111.931   6.5  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-04 23:19:03.89  40.471  -111.937   7.4  eq  -0.02   0.90   0.79  -96.7 -122.5  14.07  14.32      X  -0.06  -0.08   0.10      X   0.20
2017-07-04 23:22:20.37  40.472  -111.933   6.8  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-06 01:43:22.89  36.905  -113.046  24.3  eq  -0.32      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-06 04:05:23.80  40.473  -111.934   5.5  eq   0.05   0.72   0.62 -122.9 -136.7  15.35  14.83  -0.04   0.02  -0.03   0.09  -0.29  -0.03
2017-07-06 04:34:19.24  40.467  -111.936   5.5  eq   0.04   0.80   0.64 -129.7 -131.7  14.98  14.74   0.01   0.04   0.01   0.07  -0.12   0.15
2017-07-06 19:40:32.02  40.722  -111.794  -2.0  ex  -0.13      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-08 02:21:48.00  39.397  -111.349  16.1  eq  -0.12   0.44   0.40 -110.6 -126.4  16.49  14.92  -0.32  -0.23  -0.26  -0.17  -0.49  -0.21
2017-07-08 06:43:33.08  40.477  -111.939   5.0  eq  -0.07   0.70   0.58 -107.7 -138.8  15.09  14.72      X   0.13   0.05   0.10      X  -0.01
2017-07-08 09:24:21.46  40.455  -111.920   8.0  eq  -0.20      X   1.07      X -101.7      X  12.52      X      X      X      X      X      X
2017-07-08 11:58:45.37  38.477  -112.865  -0.4 gis      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-08 12:01:41.50  38.479  -112.853  -0.5 gis      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-08 12:04:08.15  38.477  -112.864  -0.4 gis      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-08 13:47:14.04  40.478  -111.941   5.4  eq   0.01   1.04   0.79  -94.4 -103.6  14.33  13.66      X      X      X      X      X      X
2017-07-08 13:50:54.68  38.480  -112.851  -0.5 gis      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-10 19:32:28.18  41.134  -112.916  -1.5  ex  -0.01   0.27   0.15  -83.6  -87.6  14.76  14.53  -0.03   0.02   0.16      X      X   0.72
2017-07-11 18:02:06.73  37.056  -113.540  -2.0  ex  -0.40      X  -0.04      X -127.0      X  13.15      X      X      X      X      X   0.13
2017-07-11 19:06:30.98  41.138  -112.912  -1.5  ex  -0.17   0.20   0.09  -98.2 -112.0  14.80  14.16   0.06   0.17   0.23      X   0.43   0.48
2017-07-11 19:55:40.25  40.477  -111.941   5.6  eq  -0.14      X   0.75      X  -43.3      X  14.81      X      X      X      X      X      X
2017-07-11 20:44:36.97  40.635  -109.483  -2.0  ex  -0.24  -0.34   0.31  -86.4  -83.7  14.55  12.32   0.05   0.11   0.15   0.08   0.19   0.13
2017-07-12 14:41:50.81  36.983  -113.563  13.3  eq   0.07   0.17   0.08 -173.5 -175.0  17.84  16.78  -0.06  -0.07  -0.02   0.02  -0.36  -0.23
2017-07-12 21:19:46.15  40.610  -109.553  -2.0  ex  -0.27  -0.25  -0.46 -110.2 -142.0  13.59  13.74  -0.05   0.14   0.10   0.04   0.42   0.52
2017-07-13 21:10:50.73  40.505  -112.178  -2.0  ex  -0.23   0.21   0.14  -93.0 -126.6  13.96  12.81   0.35   0.25   0.40   0.40   0.51   0.49
2017-07-14 23:30:36.02  40.837  -111.764   5.3  eq   0.09   0.71   0.65 -135.0 -118.9  16.01  14.55      X  -0.21  -0.10  -0.14      X  -0.03
2017-07-15 00:57:59.58  40.466  -111.984  -2.0  ex  -0.20   0.73      X  -96.7      X  12.37      X      X      X      X      X   0.47      X
2017-07-15 17:16:31.64  37.014  -113.894  11.8  eq   0.11      X   0.73      X -115.4      X  14.72      X      X      X      X      X      X
2017-07-18 17:58:53.05  41.130  -112.910  -1.5  ex  -0.02   0.35   0.19  -73.2  -87.4  15.51  14.67  -0.05  -0.02   0.02      X      X   0.83
2017-07-18 19:24:50.86  41.135  -112.910  -1.5  ex   0.02   0.44   0.23  -89.9 -108.2  15.23  14.32  -0.00   0.15   0.32      X      X   0.70
2017-07-18 22:43:46.11  40.822  -111.885  -2.0  ex  -0.57      X   0.19      X  -96.6      X  12.90      X      X      X      X      X      X
2017-07-19 00:01:36.66  41.053  -111.674  -2.0  ex   0.15      X   0.26      X -106.9      X  13.04      X      X      X      X      X      X
2017-07-19 18:18:23.93  40.339  -111.595   9.8  eq   0.14      X   0.76      X  -73.0      X  13.57      X      X      X      X      X      X
2017-07-20 15:55:34.73  38.444  -113.063  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-20 17:20:15.15  39.542  -112.225  -2.0  ex  -0.17   0.12   0.02  -74.6  -90.4  14.45  12.90   0.43   0.19   0.16   0.35  -0.18  -0.03
2017-07-20 21:25:10.38  40.242  -111.905  -2.0  ex  -0.48      X   0.86      X  -96.0      X  11.04      X      X      X      X      X      X
2017-07-20 22:22:55.98  38.442  -113.056  -2.0  ex  -0.17      X  -0.24      X  -92.7      X  12.81      X      X      X      X      X      X
2017-07-20 23:07:56.36  40.510  -112.168  -2.0  ex  -0.08  -0.04   1.14  -74.0 -118.3  14.15  11.49      X   0.40   0.37   0.46      X  -0.09
2017-07-24 19:33:27.13  41.134  -112.916  -1.5  ex   0.14   0.51   0.33  -82.3  -86.5  14.74  14.44  -0.07   0.02   0.14   0.00   0.70   0.79
2017-07-25 03:46:14.18  39.293  -111.203  -2.6 mis      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-25 05:58:04.16  41.748  -111.664  13.5  eq   0.22      X   0.97      X -104.2      X  13.97      X      X      X      X      X      X
2017-07-25 06:02:43.88  41.753  -111.665  13.5  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-25 17:34:18.61  41.136  -112.921  -1.5  ex   0.11   0.43   0.29  -82.4  -87.9  14.63  14.49  -0.03   0.02   0.19      X      X   0.85
2017-07-27 04:29:03.24  38.370  -113.093   9.4  eq   0.45   0.84   0.78 -109.0 -139.4  15.44  15.13      X  -0.09  -0.02  -0.09      X  -0.17
2017-07-27 16:55:52.02  38.269  -112.631   7.6  eq   0.35      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-27 18:02:54.48  40.602  -109.527  -2.0  ex  -0.79      X  -0.40      X -127.4      X  12.31      X      X      X      X      X      X
2017-07-28 17:26:12.81  40.821  -111.882  -2.0  ex  -0.32   0.00   0.33  -64.5  -91.2  13.36  12.44      X      X      X      X      X      X
2017-07-28 21:05:34.65  41.055  -111.680  -2.0  ex   0.12      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-28 22:05:25.14  40.523  -112.153  -2.0  ex   0.32      X   0.67      X  -60.3      X  15.05      X      X      X      X      X      X
2017-07-29 10:18:06.39  36.843  -112.861  25.0  eq  -0.38      X      X      X      X      X      X      X      X      X      X      X      X
2017-07-31 18:54:55.91  41.143  -112.921  -1.5  ex  -0.18      X   0.53      X  -99.9      X  13.59      X      X      X      X      X      X
2017-08-01 17:45:27.47  41.134  -112.915  -1.5  ex   0.04   0.40   0.26  -83.0  -83.6  14.24  14.41  -0.14  -0.14   0.14  -0.05   0.58   0.84
2017-08-01 20:00:25.19  40.615  -109.510  -2.0  ex  -0.05   0.00  -0.10  -91.9 -130.8  16.22  14.36   0.08   0.11   0.06   0.10   0.14   0.16
2017-08-02 00:49:22.46  37.239  -113.191  19.6  eq  -0.24      X   0.32      X -154.9      X  14.03      X      X      X      X      X  -0.64
2017-08-02 22:10:15.40  41.140  -112.909  -1.5  ex   0.01   0.40   0.19  -86.0  -89.9  14.31  14.35  -0.05   0.04   0.15      X   0.71   0.82
2017-08-03 19:59:30.27  40.507  -112.165  -2.0  ex  -0.13   0.49   0.24 -116.0 -138.6  12.82  12.77   0.19   0.11   0.14   0.23   0.48   0.63
2017-08-06 05:22:06.15  41.011  -111.438  12.7  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-08-07 06:31:18.84  37.174  -112.934  21.5  eq  -0.20      X      X      X      X      X      X      X      X      X      X      X      X
2017-08-07 18:05:28.98  41.141  -112.924  -1.5  ex  -0.03      X   0.54      X  -65.2      X  14.08      X      X      X      X      X      X
2017-08-07 20:58:29.79  40.821  -111.894  -2.0  ex  -0.26      X      X      X      X      X      X      X      X      X      X      X      X
2017-08-08 04:44:10.75  37.291  -112.851  18.8  eq  -0.39      X   0.39      X -138.2      X  13.84      X      X      X      X      X      X
2017-08-08 17:30:03.26  41.138  -112.911  -1.5  ex  -0.02   0.27   0.23  -93.1  -94.6  14.39  14.63  -0.06   0.02   0.15      X      X   0.74
2017-08-08 20:01:09.65  40.397  -111.963  -2.0  ex   0.01   0.05   0.45  -46.7 -116.8  13.07  12.58      X      X      X      X      X      X
2017-08-09 15:38:53.44  37.978  -112.926  13.9  eq   0.18   1.03   0.80 -108.1 -129.6  15.46  15.40      X  -0.12  -0.06  -0.09      X  -0.09
2017-08-10 01:19:17.98  41.017  -110.838  14.2  eq  -0.05   0.43   0.35  -98.5 -134.6  15.64  14.81      X  -0.29  -0.25  -0.19      X  -0.17
2017-08-10 04:10:14.89  41.010  -110.834  19.5  eq   0.05   0.59   0.37 -101.0 -114.1  15.09  14.62      X   0.20   0.05   0.04      X  -0.21
2017-08-10 16:00:47.78  41.075  -111.527  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-08-10 17:43:04.74  36.966  -113.571  -2.0  ex  -0.27   0.88   0.18  -38.5 -103.2  12.19  12.72      X      X      X      X      X      X
2017-08-10 17:57:43.92  40.524  -112.156  -2.0  ex  -0.15   0.07  -0.12  -56.4  -35.4  13.65  12.78      X      X      X      X      X      X
2017-08-11 08:25:58.18  37.690  -112.984  13.1  eq      X      X   0.41      X -137.0      X  14.64      X      X      X      X      X  -0.30
2017-08-12 04:34:17.10  40.674  -111.606  10.5  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-08-14 00:56:28.64  40.987  -110.854  14.5  eq   0.18      X      X      X      X      X      X      X      X      X      X      X      X
2017-08-14 02:43:43.62  40.981  -111.626  18.0  eq  -0.21      X      X      X      X      X      X      X      X      X      X      X      X
2017-08-14 20:26:49.20  41.341  -112.016  -2.0  ex  -0.44      X      X      X      X      X      X      X      X      X      X      X      X
2017-08-15 05:48:55.23  41.011  -110.835  21.1  eq      X   0.70   0.72  -49.8 -114.8  15.56  14.69      X      X      X      X      X  -0.15
2017-08-15 09:19:45.44  41.007  -110.839  17.0  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-08-15 15:46:43.47  41.016  -110.835  18.9  eq   0.00   0.42   0.44  -89.8 -149.5  15.48  14.51      X   0.04  -0.08  -0.06      X  -0.13
2017-08-15 16:15:16.65  41.005  -110.841  20.7  eq      X      X   0.72      X -125.7      X  14.21      X      X      X      X      X  -0.10
2017-08-15 18:41:29.75  41.144  -112.923  -1.5  ex  -0.02   0.32   0.14  -73.4  -89.1  15.47  14.39  -0.03  -0.05   0.18  -0.06      X   0.69
2017-08-15 20:14:13.87  41.134  -112.905  -1.5  ex   0.17   0.65   0.34 -103.9 -114.8  14.39  14.16  -0.02   0.15   0.27      X   0.45   0.60
2017-08-16 20:04:24.85  41.135  -112.910  -1.5  ex   0.00   0.41   0.17 -100.5 -107.1  14.52  14.38   0.04   0.05   0.19      X   0.52   0.65
2017-08-16 22:10:52.84  40.505  -112.165  -2.0  ex  -0.12   0.05   0.33  -36.5  -95.2  14.90  12.55      X      X      X      X      X      X
2017-08-17 17:00:23.54  41.087  -111.556  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2017-08-17 19:10:57.93  40.821  -111.877  -2.0  ex  -0.41      X      X      X      X      X      X      X      X      X      X      X      X
2017-08-18 16:16:56.05  40.721  -111.796  -2.0  ex  -0.17      X      X      X      X      X      X      X      X      X      X      X      X
2017-08-19 22:27:36.60  40.718  -112.099   7.8  eq   0.22      X      X      X      X      X      X      X      X      X      X      X      X
2017-08-21 08:54:34.38  37.672  -112.963   8.7  eq   0.03      X   0.78      X -124.2      X  15.23      X      X      X      X      X  -0.25
2017-08-21 09:14:19.46  37.692  -112.966  10.1  eq  -0.02      X   0.68      X -121.4      X  14.99      X      X      X      X      X  -0.36
2017-08-21 18:43:42.46  40.811  -111.922  -2.0  ex  -0.83      X      X      X      X      X      X      X      X      X      X      X      X
2017-08-21 20:00:09.02  40.449  -111.986  -2.0  ex  -0.05      X      X      X      X      X      X      X      X      X      X      X      X
